ambito,conf,tp,fp,fn,precision,recall,f1
detector_solo,0.1,19,6,0,0.76,1.0,0.8636
detector_solo,0.2,19,2,0,0.9048,1.0,0.95
detector_solo,0.25,19,1,0,0.95,1.0,0.9744
detector_solo,0.3,19,1,0,0.95,1.0,0.9744
detector_solo,0.35,19,1,0,0.95,1.0,0.9744
detector_solo,0.4,19,1,0,0.95,1.0,0.9744
detector_solo,0.5,19,0,0,1.0,1.0,1.0
detector_solo,0.6,19,0,0,1.0,1.0,1.0
detector_solo,0.7,19,0,0,1.0,1.0,1.0
detector_solo,0.8,18,0,1,1.0,0.9474,0.973
sistema_completo,0.1,19,6,18,0.76,0.5135,0.6129
sistema_completo,0.2,19,2,18,0.9048,0.5135,0.6552
sistema_completo,0.25,19,1,18,0.95,0.5135,0.6667
sistema_completo,0.3,19,1,18,0.95,0.5135,0.6667
sistema_completo,0.35,19,1,18,0.95,0.5135,0.6667
sistema_completo,0.4,19,1,18,0.95,0.5135,0.6667
sistema_completo,0.5,19,0,18,1.0,0.5135,0.6786
sistema_completo,0.6,19,0,18,1.0,0.5135,0.6786
sistema_completo,0.7,19,0,18,1.0,0.5135,0.6786
sistema_completo,0.8,18,0,19,1.0,0.4865,0.6545
