clip_id,location_type,width,height,fps_video,frames_totales,frames_analizados,frames_descartados,pct_analizado,detecciones,personas_unicas,max_simultaneas,conf_media,entradas,salidas,cruzaron_linea,reenganches_reid,cpu_ms_motion,gpu_ms_person,cpu_ms_tracking,cpu_ms_conteo,gpu_ms_reid,wall_ms,fps_pipeline,cpu_ms_por_frame,gpu_ms_por_frame_analizado,costo_usd_cpu,costo_usd_gpu
normal_normal-1,other,640,480,30.0,318,0,288,0.0,0,0,0,0.0,0,0,0,0,1361.533,0.0,0.0,0.0,0.0,1522.695,208.84,4.282,0,0.0,0.0
normal_normal-10,other,640,480,30.0,351,112,209,34.89,251,3,3,0.671,0,0,0,1,1852.48,1404.126,2.075,72.679,121.148,4673.202,75.11,5.491,13.619,0.0,0.0
normal_normal-11,other,640,480,30.0,350,280,40,87.5,611,6,4,0.7563,1,0,1,11,2198.344,3015.995,5.069,152.784,249.381,6538.817,53.53,6.732,11.662,0.0,0.0
normal_normal-12,other,640,480,30.0,346,0,316,0.0,0,0,0,0.0,0,0,0,0,1623.699,0.0,0.0,0.0,0.0,1786.206,193.71,4.693,0,0.0,0.0
normal_normal-13,other,640,480,30.0,311,0,281,0.0,0,0,0,0.0,0,0,0,0,1511.991,0.0,0.0,0.0,0.0,1678.154,185.32,4.862,0,0.0,0.0
normal_normal-14,other,640,480,30.0,309,265,14,94.98,265,1,1,0.8713,0,1,1,0,1952.764,2744.933,3.623,104.375,54.056,5564.345,55.53,6.669,10.562,0.0,0.0
normal_normal-15,other,640,480,30.0,315,162,123,56.84,332,3,3,0.8264,1,0,1,0,1665.024,1730.09,2.762,82.505,43.659,4298.811,73.28,5.556,10.949,0.0,0.0
normal_normal-16,other,640,480,30.0,352,306,16,95.03,572,3,2,0.729,1,0,1,1,2033.324,3200.047,5.266,150.484,103.176,6260.139,56.23,6.219,10.795,0.0,0.0
normal_normal-17,other,640,480,30.0,351,223,98,69.47,222,2,2,0.8439,0,1,1,0,2081.498,2298.959,3.048,82.951,52.242,5202.887,67.46,6.175,10.544,0.0,0.0
normal_normal-18,other,640,480,30.0,320,65,225,22.41,65,1,1,0.8911,0,0,0,0,1589.104,688.23,0.914,26.59,22.854,2957.202,108.21,5.052,10.94,0.0,0.0
normal_normal-19,other,640,480,30.0,320,137,153,47.24,137,1,1,0.8883,0,0,0,0,1520.177,1429.35,1.89,56.123,35.758,3709.13,86.27,4.932,10.694,0.0,0.0
normal_normal-2,other,640,480,30.0,320,7,283,2.41,7,1,1,0.853,0,0,0,0,1498.495,73.37,0.096,2.136,11.543,2186.304,146.37,4.69,12.13,0.0,0.0
normal_normal-20,other,640,480,30.0,350,154,166,48.12,154,1,1,0.8587,0,0,0,0,1621.661,1582.203,2.098,61.804,35.5,3968.524,88.19,4.816,10.505,0.0,0.0
normal_normal-21,other,640,480,30.0,323,246,47,83.96,246,1,1,0.8716,1,0,1,0,2601.404,2550.58,3.473,98.726,56.896,6188.151,52.2,8.37,10.599,0.0,0.0
normal_normal-22,other,640,480,30.0,337,163,144,53.09,163,1,1,0.9243,1,0,1,0,1916.364,1705.105,2.261,61.046,33.805,4393.056,76.71,5.874,10.668,0.0,0.0
normal_normal-23,other,640,480,30.0,318,258,30,89.58,258,1,1,0.914,0,1,1,0,1743.144,2678.426,3.564,97.728,56.656,5271.486,60.32,5.8,10.601,0.0,0.0
normal_normal-24,other,640,480,30.0,320,139,151,47.93,139,1,1,0.8729,0,0,0,0,1936.331,1436.547,1.898,54.898,34.932,4115.012,77.76,6.229,10.586,0.0,0.0
normal_normal-25,other,640,480,30.0,314,0,284,0.0,0,0,0,0.0,0,0,0,0,1372.547,0.0,0.0,0.0,0.0,1513.619,207.45,4.371,0,0.0,0.0
normal_normal-26,other,640,480,30.0,333,24,279,7.92,48,2,2,0.6975,0,0,0,0,1602.825,248.887,0.431,11.187,12.609,2496.757,133.37,4.848,10.896,0.0,0.0
normal_normal-27,other,640,480,30.0,321,0,291,0.0,0,0,0,0.0,0,0,0,0,1750.634,0.0,0.0,0.0,0.0,1904.801,168.52,5.454,0,0.0,0.0
normal_normal-28,other,640,480,30.0,318,0,288,0.0,0,0,0,0.0,0,0,0,0,1379.31,0.0,0.0,0.0,0.0,1527.266,208.22,4.337,0,0.0,0.0
normal_normal-29,other,640,480,30.0,323,0,293,0.0,0,0,0,0.0,0,0,0,0,1532.041,0.0,0.0,0.0,0.0,1690.061,191.12,4.743,0,0.0,0.0
normal_normal-3,other,640,480,30.0,336,227,79,74.18,335,2,2,0.8859,0,2,2,1,1717.52,2340.876,3.493,99.685,67.192,4954.189,67.82,5.419,10.608,0.0,0.0
normal_normal-30,other,640,480,30.0,325,120,175,40.68,115,1,1,0.9088,1,0,1,0,1739.178,1226.268,1.594,44.701,22.352,3792.553,85.69,5.494,10.405,0.0,0.0
normal_normal-31,other,640,480,30.0,361,238,93,71.9,238,1,1,0.9037,0,1,1,0,2093.617,2475.456,3.254,92.745,45.828,5426.067,66.53,6.065,10.594,0.0,0.0
normal_normal-32,other,640,480,30.0,351,174,147,54.21,174,1,1,0.8371,0,1,1,0,2111.406,1784.217,2.406,66.313,32.58,4660.696,75.31,6.211,10.441,0.0,0.0
normal_normal-33,other,640,480,30.0,232,160,42,79.21,163,1,2,0.8681,0,1,1,0,1294.532,1658.921,2.219,61.078,53.911,3696.065,62.77,5.853,10.705,0.0,0.0
normal_normal-34,other,640,480,30.0,290,194,66,74.62,194,1,1,0.8815,0,1,1,0,1891.56,1998.081,2.721,72.737,45.146,4714.008,61.52,6.783,10.532,0.0,0.0
normal_normal-35,other,640,480,30.0,329,268,31,89.63,268,1,1,0.9006,0,1,1,0,1950.727,2715.333,3.62,102.85,53.259,5563.367,59.14,6.253,10.331,0.0,0.0
normal_normal-36,other,640,480,30.0,366,124,212,36.9,118,1,1,0.9096,0,1,1,0,1979.406,1272.247,1.611,46.558,20.789,4090.672,89.47,5.54,10.428,0.0,0.0
normal_normal-37,other,640,480,30.0,311,235,46,83.63,235,1,1,0.9053,0,1,1,0,1745.036,2443.137,3.259,92.677,43.25,5027.746,61.86,5.92,10.58,0.0,0.0
normal_normal-38,other,640,480,30.0,315,241,44,84.56,240,1,1,0.8988,1,0,1,0,1717.145,2502.05,3.355,92.674,47.553,5063.682,62.21,5.756,10.579,0.0,0.0
normal_normal-39,other,640,480,30.0,312,0,282,0.0,0,0,0,0.0,0,0,0,0,1386.787,0.0,0.0,0.0,0.0,1522.447,204.93,4.445,0,0.0,0.0
normal_normal-4,other,640,480,30.0,336,281,25,91.83,482,2,2,0.8907,0,1,1,0,1676.651,2930.663,4.678,131.008,100.024,5687.864,59.07,5.394,10.785,0.0,0.0
normal_normal-40,other,640,480,30.0,157,106,21,83.46,241,6,4,0.7775,0,1,1,1,952.517,1159.29,1.97,60.468,80.59,3092.189,50.77,6.465,11.697,0.0,0.0
normal_normal-41,other,640,480,30.0,357,180,147,55.05,360,2,2,0.844,0,0,0,0,1678.856,1798.649,3.017,88.15,39.068,4293.367,83.15,4.958,10.21,0.0,0.0
normal_normal-42,other,640,480,30.0,339,196,113,63.43,320,7,4,0.7099,0,1,1,4,1798.621,1947.422,3.009,86.336,142.793,4649.273,72.91,5.569,10.664,0.0,0.0
normal_normal-43,other,640,480,30.0,620,485,105,82.2,1289,4,4,0.7534,1,0,1,4,3604.455,4878.09,9.542,269.893,292.997,10041.402,61.74,6.264,10.662,0.0,0.0
normal_normal-44,other,640,480,30.0,349,263,56,82.45,263,1,1,0.8797,0,0,0,0,2248.49,2582.806,3.467,97.892,55.969,5680.15,61.44,6.733,10.033,0.0,0.0
normal_normal-45,other,640,480,30.0,316,260,26,90.91,261,1,2,0.8641,1,0,1,0,2133.108,2575.611,3.471,91.741,65.358,5605.835,56.37,7.052,10.158,0.0,0.0
normal_normal-46,other,640,480,30.0,347,153,164,48.26,153,1,1,0.8636,0,1,1,0,1866.342,1512.167,1.953,54.132,30.766,4117.095,84.28,5.54,10.085,0.0,0.0
normal_normal-47,other,640,480,30.0,321,77,214,26.46,77,1,1,0.876,0,0,0,0,1457.577,772.939,1.059,28.956,22.894,2919.873,109.94,4.634,10.335,0.0,0.0
normal_normal-48,other,640,480,30.0,320,31,259,10.69,31,1,1,0.8807,0,0,0,0,1434.479,305.322,0.416,10.652,11.032,2347.638,136.31,4.517,10.205,0.0,0.0
normal_normal-49,other,640,480,30.0,349,144,175,45.14,144,1,1,0.8502,0,0,0,0,1531.476,1417.062,1.924,53.255,34.007,3800.025,91.84,4.546,10.077,0.0,0.0
normal_normal-5,other,640,480,30.0,336,119,187,38.89,119,1,1,0.9273,0,1,1,0,1714.472,1174.387,1.529,41.629,20.712,3601.459,93.3,5.231,10.043,0.0,0.0
normal_normal-50,other,640,480,30.0,320,186,104,64.14,186,1,1,0.8873,0,0,0,0,1463.865,1815.923,2.431,68.962,43.927,4038.142,79.24,4.798,9.999,0.0,0.0
normal_normal-51,other,640,480,30.0,320,186,104,64.14,186,1,1,0.8873,0,0,0,0,1492.321,1839.063,2.476,69.639,45.191,4122.055,77.63,4.889,10.13,0.0,0.0
normal_normal-52,other,640,480,30.0,349,263,56,82.45,263,1,1,0.8797,0,0,0,0,2262.967,2589.263,3.496,97.934,54.971,5713.644,61.08,6.775,10.054,0.0,0.0
normal_normal-53,other,640,480,30.0,321,99,192,34.02,99,1,1,0.8794,0,0,0,0,1450.633,971.865,1.304,38.351,22.348,3110.387,103.2,4.643,10.043,0.0,0.0
normal_normal-54,other,640,480,30.0,358,128,200,39.02,128,1,1,0.9138,0,0,0,0,2426.608,1268.585,1.694,48.299,32.987,4431.345,80.79,6.918,10.169,0.0,0.0
normal_normal-55,other,640,480,30.0,358,43,285,13.11,43,1,1,0.8892,0,0,0,0,1601.133,426.884,0.577,15.772,10.944,2678.627,133.65,4.518,10.182,0.0,0.0
normal_normal-56,other,640,480,30.0,358,43,285,13.11,43,1,1,0.8892,0,0,0,0,1574.829,429.921,0.558,15.281,11.146,2634.713,135.88,4.443,10.257,0.0,0.0
normal_normal-57,other,640,480,30.0,336,224,82,73.2,288,2,2,0.8971,0,1,1,0,2430.857,2229.815,3.217,90.647,64.371,5514.471,60.93,7.514,10.242,0.0,0.0
normal_normal-58,other,640,480,30.0,336,288,18,94.12,438,2,2,0.8809,1,0,1,0,1759.959,2869.645,4.386,123.224,74.111,5717.095,58.77,5.618,10.221,0.0,0.0
normal_normal-59,other,640,480,30.0,337,173,134,56.35,173,1,1,0.9245,1,0,1,0,1781.374,1709.287,2.312,61.159,32.111,4242.616,79.43,5.474,10.066,0.0,0.0
normal_normal-6,other,640,480,30.0,346,242,74,76.58,329,2,2,0.7635,0,0,0,1,1666.655,2413.447,3.542,100.541,96.07,4974.16,69.56,5.118,10.37,0.0,0.0
normal_normal-60,other,640,480,30.0,305,151,124,54.91,151,1,1,0.914,0,0,0,0,2114.145,1504.244,1.971,56.992,31.079,4350.036,70.11,7.125,10.168,0.0,0.0
normal_normal-61,other,640,480,30.0,336,243,63,79.41,423,3,2,0.8692,0,1,1,0,1891.02,2725.969,4.176,128.869,121.18,5630.322,59.68,6.024,11.717,0.0,0.0
normal_normal-62,other,640,480,30.0,337,133,174,43.32,133,1,1,0.9254,0,1,1,0,1908.787,1450.967,1.827,52.253,34.527,4183.38,80.56,5.825,11.169,0.0,0.0
normal_normal-63,other,640,480,30.0,337,174,133,56.68,174,1,1,0.9225,1,0,1,0,1894.038,1762.026,2.297,63.626,32.064,4422.971,76.19,5.816,10.311,0.0,0.0
normal_normal-64,other,640,480,30.0,337,235,72,76.55,235,1,1,0.9229,1,0,1,0,1911.32,2344.296,3.169,83.481,42.831,5069.364,66.48,5.929,10.158,0.0,0.0
normal_normal-65,other,640,480,30.0,346,283,33,89.56,481,3,3,0.7017,0,1,1,2,1751.86,2841.191,4.385,123.95,113.481,5573.095,62.08,5.434,10.441,0.0,0.0
normal_normal-66,other,640,480,30.0,311,68,213,24.2,79,2,2,0.8289,0,0,0,0,1416.546,690.265,0.952,25.998,32.358,2898.553,107.29,4.641,10.627,0.0,0.0
normal_normal-67,other,640,480,30.0,346,158,158,50.0,208,2,2,0.7723,0,0,0,0,1713.669,1749.214,2.417,73.227,55.779,4281.647,80.81,5.171,11.424,0.0,0.0
normal_normal-68,other,640,480,30.0,380,179,171,51.14,210,2,2,0.823,0,0,0,0,1917.4,1951.703,2.592,76.775,59.037,4730.868,80.32,5.255,11.233,0.0,0.0
normal_normal-69,other,640,480,30.0,325,286,9,96.95,294,3,3,0.8591,0,1,1,0,1962.124,3211.393,4.203,115.268,88.431,6186.669,52.53,6.405,11.538,0.0,0.0
normal_normal-7,other,640,480,30.0,341,275,36,88.42,550,2,2,0.7576,0,1,1,0,1955.318,3281.066,5.239,161.78,83.612,6331.951,53.85,6.224,12.235,0.0,0.0
normal_normal-70,other,640,480,30.0,321,220,71,75.6,220,1,1,0.8733,0,1,1,0,1756.258,2372.126,3.027,86.403,51.302,5019.287,63.95,5.75,11.016,0.0,0.0
normal_normal-71,other,640,480,30.0,341,128,183,41.16,249,2,2,0.7531,0,1,1,0,2047.47,1531.338,2.369,75.749,46.169,4454.307,76.56,6.233,12.324,0.0,0.0
normal_normal-72,other,640,480,30.0,341,167,144,53.7,276,2,2,0.7744,1,0,1,0,1900.351,1877.296,2.833,83.652,41.025,4628.462,73.67,5.826,11.487,0.0,0.0
normal_normal-73,other,640,480,30.0,319,233,56,80.62,474,3,3,0.7601,0,1,1,1,1872.283,2608.922,4.131,125.917,90.694,5493.725,58.07,6.277,11.586,0.0,0.0
normal_normal-74,other,640,480,30.0,325,254,41,86.1,528,3,3,0.7234,0,1,1,2,1886.305,2721.091,4.56,138.03,117.57,5813.596,55.9,6.243,11.176,0.0,0.0
normal_normal-75,other,640,480,30.0,350,302,18,94.38,603,2,2,0.7529,0,1,1,0,1854.155,3110.034,5.197,151.827,102.745,5982.546,58.5,5.746,10.638,0.0,0.0
normal_normal-76,other,640,480,30.0,315,248,37,87.02,495,2,2,0.7251,0,0,0,0,1682.253,2548.513,4.204,123.459,71.621,5150.996,61.15,5.746,10.565,0.0,0.0
normal_normal-77,other,640,480,30.0,350,247,73,77.19,489,2,2,0.7381,0,0,0,0,1876.961,2534.433,4.255,123.526,72.342,5354.506,65.37,5.728,10.554,0.0,0.0
normal_normal-78,other,640,480,30.0,316,175,111,61.19,352,2,3,0.7491,0,1,1,0,1635.151,1878.72,3.036,92.507,52.554,4360.691,72.47,5.477,11.036,0.0,0.0
normal_normal-79,other,640,480,30.0,351,227,94,70.72,454,2,2,0.716,0,1,1,0,1914.84,2386.715,3.916,114.731,58.094,5296.634,66.27,5.793,10.77,0.0,0.0
normal_normal-8,other,640,480,30.0,350,202,118,63.12,404,2,2,0.7458,0,0,0,0,2015.425,2197.137,3.54,109.911,60.845,5146.527,68.01,6.083,11.178,0.0,0.0
normal_normal-80,other,640,480,30.0,316,163,123,56.99,329,3,3,0.7055,0,1,1,0,1671.585,1751.972,2.846,86.462,55.907,4388.496,72.01,5.572,11.091,0.0,0.0
normal_normal-81,other,640,480,30.0,351,172,149,53.58,384,3,3,0.674,0,1,1,0,1867.932,1849.271,3.111,93.618,74.988,4726.37,74.26,5.597,11.188,0.0,0.0
normal_normal-82,other,640,480,30.0,351,244,77,76.01,539,4,3,0.712,0,1,1,2,2008.986,2586.784,4.312,129.623,124.77,5630.342,62.34,6.105,11.113,0.0,0.0
normal_normal-83,other,640,480,30.0,316,257,29,89.86,545,4,4,0.7379,0,1,1,3,1909.828,2747.522,4.545,135.856,141.417,5711.946,55.32,6.488,11.241,0.0,0.0
normal_normal-84,other,640,480,30.0,315,260,25,91.23,547,5,3,0.7221,0,0,0,0,1906.312,2879.705,4.815,148.918,102.245,5833.705,54.0,6.54,11.469,0.0,0.0
normal_normal-85,other,640,480,30.0,350,205,115,64.06,327,7,4,0.6743,0,0,0,11,2011.997,2249.543,3.24,95.678,207.087,5356.919,65.34,6.031,11.984,0.0,0.0
normal_normal-86,other,640,480,30.0,350,319,1,99.69,768,7,4,0.7925,2,0,2,6,2155.938,3441.349,5.939,183.782,219.557,6869.586,50.95,6.702,11.476,0.0,0.0
normal_normal-87,other,640,480,30.0,349,317,2,99.37,866,8,5,0.8089,2,0,2,5,2164.515,3554.914,6.153,193.309,256.568,7036.338,49.6,6.774,12.024,0.0,0.0
normal_normal-88,other,640,480,30.0,316,159,127,55.59,159,1,1,0.8679,0,0,0,0,1547.746,1719.239,2.261,64.664,33.442,4043.718,78.15,5.11,11.023,0.0,0.0
normal_normal-89,other,1920,1080,30.0,506,264,212,55.46,264,1,1,0.8575,0,0,0,0,17658.818,2879.643,3.457,298.099,61.198,22454.27,22.53,35.495,11.14,0.0,0.0
normal_normal-9,other,640,480,30.0,315,236,49,82.81,470,2,2,0.7242,0,0,0,1,1804.555,2617.156,4.224,126.871,88.927,5390.251,58.44,6.145,11.466,0.0,0.0
normal_normal-90,other,1920,1080,30.0,620,267,323,45.25,267,1,1,0.8664,1,0,1,0,18581.489,2904.552,3.507,302.306,61.087,23508.84,26.37,30.463,11.107,0.0,0.0
retail_iprox_caja,checkout,1280,720,30.0,2576,2328,218,91.44,6930,10,5,0.7704,2,1,3,24,55908.526,24787.737,54.257,4080.108,1442.1,90538.686,28.45,23.309,11.267,0.0,0.0
retail_iprox_tienda,store,1270,720,13.093,1452,1269,153,89.24,10074,28,13,0.6163,8,7,15,129,35295.887,14657.913,50.412,3844.319,4636.209,62306.368,23.3,26.991,15.204,0.0,0.0
retail_usa_tienda,store,1280,720,30.0,1810,1368,412,76.85,4655,11,6,0.6773,2,5,7,42,35510.868,15098.532,33.224,1161.599,1277.78,56286.466,32.16,20.279,11.971,0.0,0.0
shoplifting_shoplifting-1,other,640,480,30.0,311,128,153,45.55,291,3,4,0.708,0,1,1,0,1586.04,1378.804,2.27,64.588,60.822,3748.106,82.98,5.315,11.247,0.0,0.0
shoplifting_shoplifting-10,other,640,480,30.0,321,291,0,100.0,342,4,2,0.8578,1,0,1,0,2045.339,3073.635,4.233,113.156,85.987,6071.884,52.87,6.737,10.858,0.0,0.0
